"name","short_description","apm_business_process","application_type","architecture_type","install_type","install_status","life_cycle_stage_status","life_cycle_stage","technology_stack","user_base","platform","last_change_date","owned_by","it_application_owner","sys_updated_by","business_criticality","emergency_tier","data_classification","certified","model_id"
"3SUN Security analyzer","3SUN Security analyzer is an appliance based on Fortinet FortiAnalyzer solution and manages security events throught log inspection","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"3SUN Service Request Management","3SUN Service Request Management is a local ticketing system, it manages the issue and service request tracking of local ICT activites. This tool streamlines the process of handling service requests for support 3Sun organization plant. It automates ticket creation, tracks progress, and ensures timely resolution. Features include workflow automation, SLA management, and reporting. Integrates with ITSM platforms to enhance service delivery and customer satisfaction","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"4asset","Modularized control and management of land, property, socio-environmental and regulatory developments in large projects, based on the best market practices, built on a GIS platform, which integrates with external systems such as ERP and offers real-time data visualization.","","COTS (Commercial Off-The-Shelf NOT customized)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"5G - SHM - Drones","Integrazione in piattaforma IoT dei droni nell'ambito della sperimentazione 5G","","Custom (developed from the scratch)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"5G - SHM - Sensors","Integrazione in piattaforma IoT dei sensori nell'ambito della sperimentazione 5G","","Custom (developed from the scratch)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"5Partner Commissioning Platform","Through this application, data referring at contracts concluded by partners is centralized, with the help of CROS, SalesForce and Enel Easy systems and reports are created based on the data. The data is processed respecting calculus and data validation rules and commissioning diagrams. The data and reports have the role to establish amounts to commission each partner.","","","","","Retired","","","","","","","","","AF57388","","","","falso",""
"5PPA","5PPA (5 preliminary steps at height) is an application that aims to guarantee the safety of preliminary work carried out at height. It consists of a mobile application for Android devices for use by workers in the field and a website where the actions carried out with the mobile application can be consulted.
","","Custom (developed from the scratch)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"5PPA mobile","This is the APM of the 5PPA mobile application. 5PPA (5 Preliminary Steps at Height) is an application that aims to ensure the safety of preliminary work carried out at height. It consists of a mobile application for Android devices for use by workers in the field and a website where the actions carried out with the mobile application can be consulted. 
","","Custom (developed from the scratch)","","","Active","","","","","","","","","admin","","","","falso","Unknown"
"5RO Sao paulo Brazil","Gestioni di contratti d'impresi, ispezioni e qualità","","Custom (developed from the scratch)","","","Retired","","","","","","","","","AF57388","","","","falso",""
"5RO-EPP","Application developed in Power Apps oriented to perform inspections of the condition of EPP (personal protective equipment). The inspection is the starting point of the process, in the event of a report of a piece of protective equipment in poor condition, the corresponding management will be carried out to request the EPP to the warehouse, in order to avoid accidents due to the poor condition of the equipment.","","Custom (developed from the scratch)","","","Retired","","","","","","","","","system","","","","falso","Unknown"
"5RO-EPP","Application developed in Power Apps oriented to perform inspections of the condition of EPP (personal protective equipment). The inspection is the starting point of the process, in the event of a report of a piece of protective equipment in poor condition, the corresponding management will be carried out to request the EPP to the warehouse, in order to avoid accidents due to the poor condition of the equipment.","","Custom (developed from the scratch)","","","Cancelled","","","","","","","","","admin","","","","falso","Unknown"
"5RO_Argentina","The goal of the 5RO (5 Golden Rules) app is to increase the assurance of compliance with the 5 Golden Rules.

It is an APP that guides the user in the creation of the Work Zone through a series of screens imposing a sequence of operations limited by functional and temporal constraints, documenting each of the rules with a photographic record.","","Custom (developed from the scratch)","","","Active","","","","","","","","","admin","","","","falso",""
"5RO_Brasil","The goal of the 5RO (5 Golden Rules) app is to increase the assurance of compliance with the 5 Golden Rules.

It is an APP that guides the user in the creation of the Work Zone through a series of screens imposing a sequence of operations limited by functional and temporal constraints, documenting each of the rules with a photographic record.","","Custom (developed from the scratch)","","","Active","","","","","","","","","ES38129191K","","","","falso",""
"5RO_Brasil_CE","The goal of the 5RO (5 Golden Rules) app is to increase the assurance of compliance with the 5 Golden Rules.

It is an APP that guides the user in the creation of the Work Zone through a series of screens imposing a sequence of operations limited by functional and temporal constraints, documenting each of the rules with a photographic record.","","Custom (developed from the scratch)","","","Active","","","","","","","","","admin","","","","falso",""
